id,name,created_at,updated_at
1,Choreography,2022-03-04 01:16:02.355617,2022-03-04 01:16:02.355617
2,Jazz,2022-03-04 01:16:10.136576,2022-03-04 01:16:10.136576
3,Hip Hop,2022-03-04 01:16:15.989548,2022-03-04 01:16:15.989548
4,Popping,2022-03-04 01:16:22.946332,2022-03-04 01:16:22.946332
5,Kpop,2022-03-04 01:16:29.111731,2022-03-04 01:16:29.111731
6,Locking,2022-03-04 01:16:32.798026,2022-03-04 01:16:32.798026
7,House,2022-03-04 01:16:37.234221,2022-03-04 01:16:37.234221
8,Waacking,2022-03-04 01:16:42.275362,2022-03-04 01:16:42.275362
9,Krump,2022-03-04 01:16:48.138286,2022-03-04 01:16:48.138286
10,Ballet,2022-03-04 01:16:48.138286,2022-03-04 01:16:48.138286
11,Twerking,2022-03-04 01:16:48.138286,2022-03-04 01:16:48.138286
12,Children,2022-03-04 01:16:48.138286,2022-03-04 01:16:48.138286
13,Ballroom,2022-03-04 01:16:48.138286,2022-03-04 01:16:48.138286
14,Tango,2022-03-04 01:16:48.138286,2022-03-04 01:16:48.138286
15,Urban,2022-03-04 01:16:48.138286,2022-03-04 01:16:48.138286
